Date,Demand
2020-01-01,210
2020-02-01,225
2020-03-01,238
2020-04-01,220
2020-05-01,245
2020-06-01,260
2020-07-01,275
2020-08-01,262
2020-09-01,250
2020-10-01,278
2020-11-01,295
2020-12-01,320
2021-01-01,230
2021-02-01,242
2021-03-01,258
2021-04-01,240
2021-05-01,265
2021-06-01,280
2021-07-01,295
2021-08-01,282
2021-09-01,268
2021-10-01,298
2021-11-01,315
2021-12-01,340
2022-01-01,250
2022-02-01,262
2022-03-01,278
2022-04-01,260
2022-05-01,285
2022-06-01,300
2022-07-01,318
2022-08-01,305
2022-09-01,290
2022-10-01,320
2022-11-01,338
2022-12-01,365
2023-01-01,272
2023-02-01,285
2023-03-01,300
2023-04-01,282
2023-05-01,308
2023-06-01,325
2023-07-01,342
2023-08-01,328
2023-09-01,314
2023-10-01,345
2023-11-01,362
2023-12-01,390
2024-01-01,295
2024-02-01,310
2024-03-01,328
2024-04-01,308
2024-05-01,335
2024-06-01,352
2024-07-01,370
2024-08-01,355
2024-09-01,340
2024-10-01,372
2024-11-01,390
2024-12-01,420
